contest_number,image_description
389,A man is eating dinner. The fish on the plate is talking to him. He stares at it.
366,Some men are in a barber shop. There is a large hole in the ceiling and a spring where the barber's chair should be.
216,A man is in bed. A fairy woman comes by with a toilet plunger and a bottle.
77,A man and boy are looking at a very tall woman outside their window. The man is excited.
323,There is a peacock showing his plumage. Other peacocks are looking on.
174,There is a man sitting in a tree. A bird is next to him with a worm in its mouth.
98,A man is in his office looking through a telescope. Another man has entered through the door beside him.
424,A man and woman are in the desert. They're doing their laundry as the sun beats down on them.
506,A knight and an executioner are standing by a guillotine. There is a man waiting to be beheaded.
204,"Some executives are around a table, with a giant mouse. A huge piece of cheese is in the center."
410,A beaver chews on a tree down to it having no middle but it still doesn't fall. Another beaver ignores what is happening.
752,Two people are walking down a path. A number of giant books have surrounded them.
188,A man is giving a piano concert and is sitting at the keys of an open piano. Inside the open piano is water and lots of dead fish floating on top of the water.
154,Four people dressed in business suits stand at the end of a conference table holding sticks with marshmallows on the ends. There is a fire engulfing the end of the table and the people are roasting their marshmallows over the fire.
429,A man is in bed. He is on the phone. A tiny man is playing the piano on the floor.
502,Two people are looking in on a cemetery. There is a grave that has the likeness of a man's head in the distance.
328,Two headless insects are walking down the street. They're passing a Cucina.
433,"A man in a woman are sitting in a chair upside down, hanging from the ceiling. There is a messy room below them."
135,"A man and a woman are greeting their neighbors and letting them in. The neighbors are carrying a huge, lit bomb into the house."
134,Two people are in bed. They are both wearing hazmat suits and one is waking up the other.
14,Several people in suits are walking down a side walk in front of some shops.  One of them appears to be a wolf man.
169,"A business man is walking down the street. Next to him is another man, also with a briefcase."
621,A knight is standing in front of some mirrors. A man in a suit stands  behind him.
262,A man is sitting at a desk in an office. A secretary is showing in a unicorn.
655,A man is debating with Earth on a stage. They each have a podium.
